exam,stage,paper,subject,remarks
UPSC Civil Services Examination,Prelims,General Studies Paper I,Current Events of National and International Importance,Merit based
UPSC Civil Services Examination,Prelims,General Studies Paper I,History of India & Indian National Movement,Merit based
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian & World Geography,Merit based
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian Polity & Governance,Merit based
UPSC Civil Services Examination,Prelims,General Studies Paper I,Economic & Social Development,Merit based
UPSC Civil Services Examination,Prelims,General Studies Paper I,Environment Ecology Biodiversity & Climate Change,Merit based
UPSC Civil Services Examination,Prelims,General Studies Paper I,General Science,Merit based
UPSC Civil Services Examination,Prelims,General Studies Paper II (CSAT),Comprehension,Qualifying (33%)
UPSC Civil Services Examination,Prelims,General Studies Paper II (CSAT),Logical & Analytical Reasoning,Qualifying (33%)
UPSC Civil Services Examination,Prelims,General Studies Paper II (CSAT),Decision Making & Problem Solving,Qualifying (33%)
UPSC Civil Services Examination,Prelims,General Studies Paper II (CSAT),General Mental Ability,Qualifying (33%)
UPSC Civil Services Examination,Prelims,General Studies Paper II (CSAT),Quantitative Aptitude,Qualifying (33%)
UPSC Civil Services Examination,Prelims,General Studies Paper II (CSAT),Data Interpretation,Qualifying (33%)
UPSC Civil Services Examination,Mains,Qualifying Paper A,Indian Language (8th Schedule),Qualifying only
UPSC Civil Services Examination,Mains,Qualifying Paper B,English Language,Qualifying only
UPSC Civil Services Examination,Mains,Essay Paper,Essay,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper I,Indian Culture,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper I,Indian History,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper I,World History,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper I,Indian Society,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper I,Geography of India & World,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper II,Indian Polity & Constitution,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper II,Governance & Public Administration,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper II,Social Justice,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper II,International Relations,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper III,Indian Economy,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper III,Agriculture,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper III,Science & Technology,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper III,Environment & Ecology,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper III,Disaster Management,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper III,Internal Security,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper IV,Ethics,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper IV,Integrity & Probity,Counted for merit
UPSC Civil Services Examination,Mains,General Studies Paper IV,Aptitude & Case Studies,Counted for merit
UPSC Civil Services Examination,Mains,Optional Paper I,Optional Subject,Counted for merit
UPSC Civil Services Examination,Mains,Optional Paper II,Optional Subject,Counted for merit
UPSC Civil Services Examination,Interview,Personality Test,Personality Assessment,Counted for merit
