category,optional_subject
Humanities & Social Sciences,Anthropology
Humanities & Social Sciences,Economics
Humanities & Social Sciences,Geography
Humanities & Social Sciences,History
Humanities & Social Sciences,Philosophy
Humanities & Social Sciences,Political Science & International Relations
Humanities & Social Sciences,Psychology
Humanities & Social Sciences,Public Administration
Humanities & Social Sciences,Sociology
Science & Engineering,Agriculture
Science & Engineering,Animal Husbandry & Veterinary Science
Science & Engineering,Botany
Science & Engineering,Chemistry
Science & Engineering,Civil Engineering
Science & Engineering,Electrical Engineering
Science & Engineering,Mathematics
Science & Engineering,Mechanical Engineering
Science & Engineering,Medical Science
Science & Engineering,Physics
Science & Engineering,Zoology
Literature,Assamese
Literature,Bengali
Literature,Bodo
Literature,Dogri
Literature,English
Literature,Gujarati
Literature,Hindi
Literature,Kannada
Literature,Kashmiri
Literature,Konkani
Literature,Maithili
Literature,Malayalam
Literature,Manipuri
Literature,Marathi
Literature,Nepali
Literature,Odia
Literature,Punjabi
Literature,Sanskrit
Literature,Santhali
Literature,Sindhi
Literature,Tamil
Literature,Telugu
Literature,Urdu
