exam,stage,paper,subject,subtopic,v1_generated,v2_cleaned,v3_verified,v4_finalized
UPSC Civil Services Examination,Prelims,General Studies Paper I,Current Events of National and International Importance,Events of National Importance,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Current Events of National and International Importance,Government Policies and Interventions,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Current Events of National and International Importance,Economic Developments,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Current Events of National and International Importance,Environmental Issues,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Current Events of National and International Importance,Global Summits and Organizations,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,History of India & Indian National Movement,Ancient India,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,History of India & Indian National Movement,Medieval India,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,History of India & Indian National Movement,Modern India,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,History of India & Indian National Movement,Indian National Movement,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian & World Geography,Geographical Features and their Location,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian & World Geography,Climate Change,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian & World Geography,Geographical Phenomena,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian & World Geography,Population and Settlement,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian & World Geography,Environmental Degradation and Conservation,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian Polity & Governance,Constitution of India,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian Polity & Governance,Political System,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian Polity & Governance,Panchayati Raj,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Indian Polity & Governance,Rights Issues,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Economic & Social Development,Tribes and their economic systems,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Economic & Social Development,Role of IT in growth and development,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Economic & Social Development,Food Security,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Economic & Social Development,"Public Distribution Systems - objectives, functioning, limitations, revamping",True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Economic & Social Development,"Human Development: Poverty, Human Resource",True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Environment Ecology Biodiversity & Climate Change,Ecosystem Dynamics,True,True,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Environment Ecology Biodiversity & Climate Change,Natural Resource Conservation,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,Environment Ecology Biodiversity & Climate Change,Sustainable Development,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,General Science,Physics,True,False,False,False
UPSC Civil Services Examination,Prelims,General Studies Paper I,General Science,Chemistry,True,False,False,False
